year,opponent,venue,result,UM_score,opp_score,date,time
2024,Fresno State,Home,W,30,10,Aug 31 (Sat),7:30 PM
2024,#3 Texas,Home,L,12,31,Sep 7 (Sat),Noon
2024,Arkansas State,Home,W,28,18,Sep 14 (Sat),Noon
2024,#11 USC,Home,W,27,24,Sep 21 (Sat),3:30 PM
2024,Minnesota,Home,W,27,24,Sep 28 (Sat),Noon
2024,Washington,Away,L,17,27,Oct 5 (Sat),4:30 PM PT
2024,#22 Illinois,Away,L,7,21,Oct 19 (Sat),2:30 PM CT
2024,Michigan State,Home,W,24,17,Oct 26 (Sat),7:30 PM
2024,#1 Oregon,Home,L,17,38,Nov 2 (Sat),3:30 PM
2024,#8 Indiana,Away,L,15,20,Nov 9 (Sat),3:30 PM
2024,Northwestern,Home,W,50,6,Nov 23 (Sat),3:30 PM
2024,#2 Ohio State,Away,W,13,10,Nov 30 (Sat),Noon
2024,#11 Alabama,,W,19,13,Dec 31 (Tue),Noon
2023,East Carolina,Home,W,30,3,Sep 2 (Sat),Noon
2023,UNLV,Home,W,35,7,Sep 9 (Sat),3:30 PM
2023,Bowling Green,Home,W,31,6,Sep 16 (Sat),7:30 PM
2023,Rutgers,Home,W,31,7,Sep 23 (Sat),12:00 PM
2023,Nebraska,Away,W,45,7,Sep 30 (Sat),2:30 PM CT
2023,Minnesota,Away,W,52,10,Oct 7 (Sat),6:30 PM CT
2023,Indiana,Home,W,52,7,Oct 14 (Sat),Noon
2023,Michigan State,Away,W,49,0,Oct 21 (Sat),7:30 PM
2023,Purdue,Home,W,41,13,Nov 4 (Sat),7:30 PM
2023,#9 Penn State,Away,W,24,15,Nov 11 (Sat),Noon
2023,Maryland,Away,W,31,24,Nov 18 (Sat),Noon
2023,#2 Ohio State,Home,W,30,24,Nov 25 (Sat),Noon
2023,#18 Iowa,,W,26,0,Dec 2 (Sat),8:00 PM
2023,#4 Alabama,,W,27,20,Jan 1 (Mon),2:10 PM PST
2023,#2 Washington,,W,34,13,Jan 8 (Mon),6:30 PM CT
2023,Maize vs. Blue Spring Game,Home,,,,Apr 20 (Sat),Noon
2022,Colorado State,Home,W,51,7,Sep 3 (Sat),Noon
2022,Hawai'i,Home,W,56,10,Sep 10 (Sat),8:00 PM
2022,UConn,Home,W,59,0,Sep 17 (Sat),Noon
2022,Maryland,Home,W,34,27,Sep 24 (Sat),Noon
2022,Iowa,Away,W,27,14,Oct 1 (Sat),11:00 AM CT
2022,Indiana,Away,W,31,10,Oct 8 (Sat),Noon
2022,#10 Penn State,Home,W,41,17,Oct 15 (Sat),Noon
2022,Michigan State,Home,W,29,7,Oct 29 (Sat),7:30 PM
2022,Rutgers,Away,W,52,17,Nov 5 (Sat),7:30 PM
2022,Nebraska,Home,W,34,3,Nov 12 (Sat),3:30 PM
2022,Illinois,Home,W,19,17,Nov 19 (Sat),Noon
2022,#2 Ohio State,Away,W,45,23,Nov 26 (Sat),Noon
2022,Purdue,,W,43,22,Dec 3 (Sat),8:00 PM
2022,#3 TCU,,L,45,51,Dec 31 (Sat),2:00 PM MT
2022,Maize and Blue Spring Game,Home,,,,Apr 1 (Sat),3:00 PM
2021,Western Michigan,Home,W,47,14,Sep 4 (Sat),Noon
2021,Washington,Home,W,31,10,Sep 11 (Sat),8:00 PM
2021,Northern Illinois,Home,W,63,10,Sep 18 (Sat),Noon
2021,Rutgers,Home,W,20,13,Sep 25 (Sat),3:30 PM
2021,Wisconsin,Away,W,38,17,Oct 2 (Sat),11:00 AM CT
2021,Nebraska,Away,W,32,29,Oct 9 (Sat),6:30 PM CT
2021,Northwestern,Home,W,33,7,Oct 23 (Sat),Noon
2021,#8 Michigan State,Away,L,33,37,Oct 30 (Sat),Noon
2021,Indiana,Home,W,29,7,Nov 6 (Sat),7:30 PM
2021,#23 Penn State,Away,W,21,17,Nov 13 (Sat),Noon
2021,Maryland,Away,W,59,18,Nov 20 (Sat),3:30 PM
2021,#2 Ohio State,Home,W,42,27,Nov 27 (Sat),Noon
2021,#15 Iowa,,W,42,3,Dec 4 (Sat),8:00 PM
2021,#3 Georgia,,L,11,34,Dec 31 (Fri),7:30 PM
2021,Maize and Blue Spring Game,,,,,Apr 2 (Sat),Noon
2020,#21 Minnesota,Away,W,49,24,Oct 24 (Sat),6:30 PM CT
2020,Michigan State,Home,L,24,27,Oct 31 (Sat),Noon
2020,#13 Indiana,Away,L,21,38,Nov 7 (Sat),Noon
2020,#13 Wisconsin,Home,L,11,49,Nov 14 (Sat),7:30 PM
2020,Rutgers,Away,W,48,42,Nov 21 (Sat),7:30 PM
2020,Penn State,Home,L,17,27,Nov 28 (Sat),Noon
2020,Maryland,Home,,,,Dec 5 (Sat),3:30 PM
2020,#3 Ohio State,Away,,,,Dec 12 (Sat),Noon
2020,#18 Iowa,Away,,,,Dec 19 (Sat),6:00 PM CT
2019,Middle Tennessee State,Home,W,40,21,Aug 31 (Sat),7:30 PM
2019,Army,Home,W,24,21,Sep 7 (Sat),Noon
2019,#13 Wisconsin,Away,L,14,35,Sep 21 (Sat),11:00 AM CT
2019,Rutgers,Home,W,52,0,Sep 28 (Sat),Noon
2019,#14 Iowa - Homecoming,Home,W,10,3,Oct 5 (Sat),Noon
2019,Illinois,Away,W,42,25,Oct 12 (Sat),11:00 AM CT
2019,#7 Penn State,Away,L,21,28,Oct 19 (Sat),7:30 PM
2019,#8 Notre Dame,Home,W,45,14,Oct 26 (Sat),7:30 PM
2019,Maryland,Away,W,38,7,Nov 2 (Sat),Noon
2019,Michigan State,Home,W,44,10,Nov 16 (Sat),Noon
2019,Indiana,Away,W,39,14,Nov 23 (Sat),3:30 PM
2019,#2 Ohio State,Home,L,27,56,Nov 30 (Sat),Noon
2019,#9 Alabama,,L,16,35,Jan 1 (Wed),1:00 PM
2019,Open Practice,,,,,Apr 18 (Sat),Noon
2018,#12 Notre Dame,Away,L,17,24,Sep 1 (Sat),7:30 PM
2018,Western Michigan,Home,W,49,3,Sep 8 (Sat),Noon
2018,SMU,Home,W,45,20,Sep 15 (Sat),3:30 PM
2018,Nebraska,Home,W,56,10,Sep 22 (Sat),Noon
2018,Northwestern,Away,W,20,17,Sep 29 (Sat),3:30 PM CT
2018,Maryland,Home,W,42,21,Oct 6 (Sat),Noon
2018,#15 Wisconsin,Home,W,38,13,Oct 13 (Sat),7:30 PM
2018,#24 Michigan State,Away,W,21,7,Oct 20 (Sat),Noon
2018,#14 Penn State,Home,W,42,7,Nov 3 (Sat),3:45 PM
2018,Rutgers,Away,W,42,7,Nov 10 (Sat),3:30 PM
2018,Indiana,Home,W,31,20,Nov 17 (Sat),4:00 PM
2018,#10 Ohio State,Away,L,39,62,Nov 24 (Sat),Noon
2018,#10 Florida,,L,15,41,Dec 29 (Sat),Noon
2018,Spring Game,Home,,,,Apr 13 (Sat),5:00 PM
2017,#17 Florida,,W,33,17,Sep 2 (Sat),2:30 PM CT
2017,Cincinnati,Home,W,36,14,Sep 9 (Sat),Noon
2017,Air Force,Home,W,29,13,Sep 16 (Sat),Noon
2017,Purdue,Away,W,28,10,Sep 23 (Sat),4:00 PM
2017,Michigan State,Home,L,10,14,Oct 7 (Sat),7:30 PM
2017,Indiana,Away,W,27,20,Oct 14 (Sat),Noon
2017,#2 Penn State,Away,L,13,42,Oct 21 (Sat),7:30 PM
2017,Rutgers,Home,W,35,14,Oct 28 (Sat),Noon
2017,Minnesota,Home,W,33,10,Nov 4 (Sat),7:30 PM
2017,Maryland,Away,W,35,10,Nov 11 (Sat),3:30 PM
2017,#5 Wisconsin,Away,L,10,24,Nov 18 (Sat),11:00 AM CT
2017,#8  Ohio State,Home,L,20,31,Nov 25 (Sat),Noon
2017,South Carolina,,L,19,26,Jan 1 (Mon),Noon
2017,Spring Game,Home,,,,Apr 14 (Sat),5:45 PM
2016,Hawaii,Home,W,63,3,Sep 3 (Sat),Noon
2016,Central Florida,Home,W,51,14,Sep 10 (Sat),Noon
2016,Colorado,Home,W,45,28,Sep 17 (Sat),3:30 PM
2016,Penn State,Home,W,49,10,Sep 24 (Sat),3:30 PM
2016,#8 Wisconsin,Home,W,14,7,Oct 1 (Sat),3:30 PM
2016,Rutgers,Away,W,78,0,Oct 8 (Sat),7:00 PM
2016,Illinois,Home,W,41,8,Oct 22 (Sat),3:30 PM
2016,Michigan State,Away,W,32,23,Oct 29 (Sat),Noon
2016,Maryland,Home,W,59,3,Nov 5 (Sat),3:30 PM
2016,Iowa,Away,L,13,14,Nov 12 (Sat),7:00 PM CT
2016,Indiana,Home,W,20,10,Nov 19 (Sat),3:30 PM
2016,#2 Ohio State,Away,L,27,30,Nov 26 (Sat),Noon
2016,#10 Florida State,,L,32,33,Dec 30 (Fri),8:00 PM
2016,Spring Game,Home,,,,Apr 15 (Sat),1:00 PM
2015,Utah,Away,L,17,24,Sep 3 (Thu),6:30 PM MT
2015,Oregon State,Home,W,35,7,Sep 12 (Sat),Noon
2015,UNLV,Home,W,28,7,Sep 19 (Sat),Noon
2015,#22 Brigham Young,Home,W,31,0,Sep 26 (Sat),Noon
2015,Maryland,Away,W,28,0,Oct 3 (Sat),Noon
2015,#13 Northwestern,Home,W,38,0,Oct 10 (Sat),3:30 PM
2015,#7 Michigan State,Home,L,23,27,Oct 17 (Sat),3:30 PM
2015,Minnesota,Away,W,29,26,Oct 31 (Sat),6:00 PM CT
2015,Rutgers,Home,W,49,16,Nov 7 (Sat),3:30 PM
2015,Indiana,Away,W,48,41,Nov 14 (Sat),3:30 PM
2015,Penn State,Away,W,28,16,Nov 21 (Sat),Noon
2015,#8 Ohio State,Home,L,13,42,Nov 28 (Sat),Noon
2015,#19 Florida,,W,41,7,Jan 1 (Fri),1:00 PM
2015,Spring Game,Home,,,,Apr 1 (Fri),6:20 PM
2014,Appalachian State,Home,W,52,14,Aug 30 (Sat),Noon
2014,#16 Notre Dame,Away,L,0,31,Sep 6 (Sat),7:30 PM
2014,Miami (Ohio),Home,W,34,10,Sep 13 (Sat),3:30 PM
2014,Utah,Home,L,10,26,Sep 20 (Sat),3:30 PM
2014,Minnesota,Home,L,14,30,Sep 27 (Sat),3:30 PM
2014,Rutgers,Away,L,24,26,Oct 4 (Sat),7:00 PM
2014,Penn State,Home,W,18,13,Oct 11 (Sat),7:00 PM
2014,#8 Michigan State,Away,L,11,35,Oct 25 (Sat),3:30 PM
2014,Indiana,Home,W,34,10,Nov 1 (Sat),3:30 PM
2014,Northwestern,Away,W,10,9,Nov 8 (Sat),2:30 PM CT
2014,Maryland,Home,L,16,23,Nov 22 (Sat),3:30 PM
2014,#7 Ohio State,Away,L,28,42,Nov 29 (Sat),Noon
2014,Spring Game,Home,,,,Apr 4 (Sat),Noon
2013,Central Michigan,Home,W,59,9,Aug 31 (Sat),3:30 PM
2013,#14 Notre Dame,Home,W,41,30,Sep 7 (Sat),8:00 PM
2013,Akron,Home,W,28,24,Sep 14 (Sat),Noon
2013,Connecticut,Away,W,24,21,Sep 21 (Sat),8:00 PM
2013,Minnesota,Home,W,42,13,Oct 5 (Sat),3:30 PM
2013,Penn State,Away,L,40,43,Oct 12 (Sat),5:00 PM
2013,Indiana,Home,W,63,47,Oct 19 (Sat),3:30 PM
2013,#24 Michigan State,Away,L,6,29,Nov 2 (Sat),3:30 PM
2013,Nebraska,Home,L,13,17,Nov 9 (Sat),3:30 PM
2013,Northwestern,Away,W,27,19,Nov 16 (Sat),2:30 PM CT
2013,Iowa,Away,L,21,24,Nov 23 (Sat),11:00 AM CT
2013,#3 Ohio State,Home,L,41,42,Nov 30 (Sat),Noon
2013,Kansas State,,L,14,31,Dec 28 (Sat),8:15 PM MT
2013,Spring Game,Home,,,,Apr 5 (Sat),2:00 PM
2012,#2 Alabama,,L,14,41,Sep 1 (Sat),7:00 PM CT
2012,Air Force,Home,W,31,25,Sep 8 (Sat),3:30 PM
2012,Massachusetts,Home,W,63,13,Sep 15 (Sat),3:30 PM
2012,#11 Notre Dame,Away,L,6,13,Sep 22 (Sat),7:30 PM
2012,Purdue,Away,W,44,13,Oct 6 (Sat),4:00 PM
2012,Illinois,Home,W,45,0,Oct 13 (Sat),3:30 PM
2012,Michigan State,Home,W,12,10,Oct 20 (Sat),3:30 PM
2012,Nebraska,Away,L,9,23,Oct 27 (Sat),7:00 PM CT
2012,Minnesota,Away,W,35,13,Nov 3 (Sat),11:00 AM CT
2012,Northwestern,Home,W,38,31,Nov 10 (Sat),Noon
2012,Iowa,Home,W,42,17,Nov 17 (Sat),Noon
2012,#4 Ohio State,Away,L,21,26,Nov 24 (Sat),Noon
2012,#11 South Carolina,,L,28,33,Jan 1 (Tue),1:00 PM
2012,Alumni Flag Football,Home,,,,Apr 13 (Sat),11:00 AM
2012,Spring Game,Home,,,,Apr 13 (Sat),12:30 PM
2011,Western Michigan,Home,W,34,10,Sep 3 (Sat),3:30 PM
2011,Notre Dame,Home,W,35,31,Sep 10 (Sat),8:00 PM
2011,Eastern Michigan,Home,W,31,3,Sep 17 (Sat),Noon
2011,San Diego State,Home,W,28,7,Sep 24 (Sat),Noon
2011,Minnesota,Home,W,58,0,Oct 1 (Sat),Noon
2011,Northwestern,Away,W,42,24,Oct 8 (Sat),6:00 PM CT
2011,#23 Michigan State,Away,L,14,28,Oct 15 (Sat),Noon
2011,Purdue,Home,W,36,14,Oct 29 (Sat),Noon
2011,Iowa,Away,L,16,24,Nov 5 (Sat),11:00 AM CT
2011,Illinois,Away,W,31,14,Nov 12 (Sat),2:30 PM CT
2011,#17 Nebraska,Home,W,45,17,Nov 19 (Sat),Noon
2011,Ohio State,Home,W,40,34,Nov 26 (Sat),Noon
2011,#17 Virginia Tech,,W,23,20,Jan 3 (Tue),7:30 PM CT
2010,Connecticut,Home,W,30,10,Sep 4 (Sat),3:30 PM
2010,Notre Dame,Away,W,28,24,Sep 11 (Sat),3:30 PM
2010,Massachusetts,Home,W,42,37,Sep 18 (Sat),Noon
2010,Bowling Green,Home,W,65,21,Sep 25 (Sat),Noon
2010,Indiana,Away,W,42,35,Oct 2 (Sat),3:30 PM
2010,#17 Michigan State,Home,L,17,34,Oct 9 (Sat),3:30 PM
2010,#15 Iowa,Home,L,28,38,Oct 16 (Sat),3:30 PM
2010,Penn State,Away,L,31,41,Oct 30 (Sat),8:00 PM
2010,Illinois,Home,W,67,65,Nov 6 (Sat),Noon
2010,Purdue,Away,W,27,16,Nov 13 (Sat),Noon
2010,#6 Wisconsin,Home,L,28,48,Nov 20 (Sat),Noon
2010,#8 Ohio State,Away,L,7,37,Nov 27 (Sat),Noon
2010,#21 Mississippi State,,L,14,52,Jan 1 (Sat),1:30 PM
2010,Mott Spring Game,Home,,,,Apr 16 (Sat),Noon
2009,Western Michigan,Home,W,31,7,Sep 5 (Sat),3:30 PM
2009,#18 Notre Dame,Home,W,38,34,Sep 12 (Sat),3:30 PM
2009,Eastern Michigan,Home,W,45,17,Sep 19 (Sat),Noon
2009,Indiana,Home,W,36,33,Sep 26 (Sat),Noon
2009,Michigan State,Away,L,20,26,Oct 3 (Sat),Noon
2009,#12 Iowa,Away,L,28,30,Oct 10 (Sat),7:12 PM CT
2009,Delaware State,Home,W,63,6,Oct 17 (Sat),Noon
2009,#13 Penn State,Home,L,10,35,Oct 24 (Sat),3:30 PM
2009,Illinois,Away,L,13,38,Oct 31 (Sat),2:30 PM CT
2009,Purdue,Home,L,36,38,Nov 7 (Sat),Noon
2009,#21 Wisconsin,Away,L,24,45,Nov 14 (Sat),11:00 AM CT
2009,#9 Ohio State,Home,L,10,21,Nov 21 (Sat),Noon
2009,Spring Game,Home,,,,Apr 17 (Sat),1:00 PM
2008,Utah,Home,L,23,25,Aug 30 (Sat),3:30 PM
2008,Miami (Ohio),Home,W,16,6,Sep 6 (Sat),Noon
2008,Notre Dame,Away,L,17,35,Sep 13 (Sat),3:30 PM
2008,#9 Wisconsin,Home,W,27,25,Sep 27 (Sat),3:30 PM
2008,Illinois,Home,L,20,45,Oct 4 (Sat),3:30 PM
2008,Toledo,Home,L,10,13,Oct 11 (Sat),Noon
2008,#3 Penn State,Away,L,17,46,Oct 18 (Sat),4:30 PM
2008,Michigan State,Home,L,21,35,Oct 25 (Sat),3:30 PM
2008,Purdue,Away,L,42,48,Nov 1 (Sat),Noon
2008,Minnesota,Away,W,29,6,Nov 8 (Sat),11:00 AM CT
2008,Northwestern,Home,L,14,21,Nov 15 (Sat),Noon
2008,#10 Ohio State,Away,L,7,42,Nov 22 (Sat),Noon
2007,Appalachian State,Home,L,32,34,Sep 1 (Sat),Noon
2007,Oregon,Home,L,7,39,Sep 8 (Sat),3:30 PM
2007,Notre Dame,Home,W,38,0,Sep 15 (Sat),3:30 PM
2007,#10 Penn State,Home,W,14,9,Sep 22 (Sat),3:30 PM
2007,Northwestern,Away,W,28,16,Sep 29 (Sat),11:00 AM CT
2007,Eastern Michigan,Home,W,33,22,Oct 6 (Sat),Noon
2007,Purdue,Home,W,48,21,Oct 13 (Sat),Noon
2007,Illinois,Away,W,27,17,Oct 20 (Sat),7:00 PM
2007,Minnesota,Home,W,34,10,Oct 27 (Sat),3:30 PM
2007,Michigan State,Away,W,28,24,Nov 3 (Sat),3:30 PM
2007,Wisconsin,Away,L,21,37,Nov 10 (Sat),11:00 AM CT
2007,#7 Ohio State,Home,L,3,14,Nov 17 (Sat),Noon
2007,#9 Florida,,W,41,35,Jan 1 (Tue),1:00 PM
2006,Vanderbilt,Home,W,27,7,Sep 2 (Sat),Noon
2006,Central Michigan,Home,W,41,17,Sep 9 (Sat),Noon
2006,#2 Notre Dame,Away,W,47,21,Sep 16 (Sat),3:30 PM
2006,Wisconsin,Home,W,27,13,Sep 23 (Sat),Noon
2006,Minnesota,Away,W,28,14,Sep 30 (Sat),7:00 PM CT
2006,Michigan State,Home,W,31,13,Oct 7 (Sat),4:30 PM
2006,Penn State,Away,W,17,10,Oct 14 (Sat),8:00 PM
2006,Iowa,Home,W,20,6,Oct 21 (Sat),3:35 PM
2006,Northwestern,Home,W,17,3,Oct 28 (Sat),Noon
2006,Ball State,Home,W,34,26,Nov 4 (Sat),12:30 PM
2006,Indiana,Away,W,34,3,Nov 11 (Sat),3:30 PM
2006,#1 Ohio State,Away,L,39,42,Nov 18 (Sat),3:30 PM
2006,#8 Southern California,,L,18,32,Jan 1 (Mon),2:00 PM PT
2005,Northern Illinois,Home,W,33,17,Sep 3 (Sat),3:30 PM
2005,#20 Notre Dame,Home,L,10,17,Sep 10 (Sat),Noon
2005,Eastern Michigan,Home,W,55,0,Sep 17 (Sat),Noon
2005,Wisconsin,Away,L,20,23,Sep 24 (Sat),5:00 PM CT
2005,#11 Michigan State,Away,W,34,31,Oct 1 (Sat),Noon
2005,Minnesota,Home,L,20,23,Oct 8 (Sat),1:00 PM
2005,#8 Penn State,Home,W,27,25,Oct 15 (Sat),3:30 PM
2005,Iowa,Away,W,23,20,Oct 22 (Sat),11:00 AM CT
2005,#21 Northwestern,Away,W,33,17,Oct 29 (Sat),6:00 PM CT
2005,Indiana,Home,W,41,14,Nov 12 (Sat),Noon
2005,#9 Ohio State,Home,L,21,25,Nov 19 (Sat),1:00 PM
2005,Nebraska,Home,L,28,32,Dec 28 (Wed),7:00 PM CT
2004,Miami (Ohio),Home,W,43,10,Sep 4 (Sat),12:10 PM
2004,Notre Dame,Away,L,20,28,Sep 11 (Sat),2:30 PM CT
2004,San Diego State,Home,W,24,21,Sep 18 (Sat),Noon
2004,Iowa,Home,W,30,17,Sep 25 (Sat),3:30 PM
2004,Indiana,Away,W,35,14,Oct 2 (Sat),2:30 PM CT
2004,#13 Minnesota,Home,W,27,24,Oct 9 (Sat),Noon
2004,Illinois,Away,W,30,19,Oct 16 (Sat),11:10 AM CT
2004,#12 Purdue,Away,W,16,14,Oct 23 (Sat),2:30 PM CT
2004,Michigan State,Home,W,45,37,Oct 30 (Sat),3:30 PM
2004,Northwestern,Home,W,42,20,Nov 13 (Sat),12:10 PM
2004,Ohio State,Away,L,21,37,Nov 20 (Sat),1:00 PM
2004,#6 Texas,,L,37,38,Jan 1 (Sat),2:00 PM PT
2003,Central Michigan,Home,W,45,7,Aug 30 (Sat),12:10 PM
2003,Houston,Home,W,50,3,Sep 6 (Sat),Noon
2003,#15 Notre Dame,Home,W,38,0,Sep 13 (Sat),3:30 PM
2003,#22 Oregon,Away,L,27,31,Sep 20 (Sat),12:30 PM PT
2003,Indiana,Home,W,31,17,Sep 27 (Sat),Noon
2003,#23 Iowa,Away,L,27,30,Oct 4 (Sat),2:30 PM CT
2003,#17 Minnesota,Away,W,38,35,Oct 10 (Fri),7:00 PM CT
2003,Illinois,Home,W,56,14,Oct 18 (Sat),12:10 PM
2003,#10 Purdue,Home,W,31,3,Oct 25 (Sat),3:30 PM
2003,#9 Michigan State,Away,W,27,20,Nov 1 (Sat),Noon
2003,Northwestern,Away,W,41,10,Nov 15 (Sat),2:30 PM CT
2003,#4 Ohio State,Home,W,35,21,Nov 22 (Sat),Noon
2003,#1 Southern California,,L,14,28,Jan 1 (Thu),2:00 PM PT
2002,#11 Washington,Home,W,31,29,Aug 31 (Sat),Noon
2002,Western Michigan,Home,W,35,12,Sep 7 (Sat),12:10 PM
2002,#20 Notre Dame,Away,L,23,25,Sep 14 (Sat),1:30 PM CT
2002,Utah,Home,W,10,7,Sep 21 (Sat),12:05 PM
2002,Illinois,Away,W,45,28,Sep 28 (Sat),2:30 PM CT
2002,#15 Penn State,Home,W,27,24,Oct 12 (Sat),3:30 PM
2002,Purdue,Home,W,23,21,Oct 19 (Sat),11:05 AM CT
2002,#13 Iowa,Home,L,9,34,Oct 26 (Sat),12:05 PM
2002,Michigan State,Home,W,49,3,Nov 2 (Sat),12:05 PM
2002,Minnesota,Away,W,41,24,Nov 9 (Sat),6:45 PM CT
2002,Wisconsin,Home,W,21,14,Nov 16 (Sat),12:05 PM
2002,#2 Ohio State,Away,L,9,14,Nov 23 (Sat),12:15 PM
2002,#22 Florida,,W,38,30,Jan 1 (Wed),11:00 AM
2001,Miami (Ohio),Home,W,31,13,Sep 1 (Sat),3:30 PM
2001,#15 Washington,Away,L,18,23,Sep 8 (Sat),12:30 PM PT
2001,Western Michigan,Home,,,,Sep 15 (Sat),12:10 PM
2001,Western Michigan,Home,W,38,21,Sep 22 (Sat),12:10 PM
2001,#22 Illinois,Home,W,45,20,Sep 29 (Sat),3:30 PM
2001,Penn State,Away,W,20,0,Oct 6 (Sat),3:30 PM
2001,#17 Purdue,Home,W,24,10,Oct 13 (Sat),12:10 PM
2001,Iowa,Away,W,32,26,Oct 27 (Sat),2:30 PM CT
2001,Michigan State,Away,L,24,26,Nov 3 (Sat),3:30 PM
2001,Minnesota,Home,W,31,10,Nov 10 (Sat),12:10 PM
2001,Wisconsin,Away,W,20,17,Nov 17 (Sat),2:30 PM CT
2001,Ohio State,Home,L,20,26,Nov 24 (Sat),1:00 PM
2001,#8 Tennessee,,L,17,45,Jan 1 (Tue),1:00 PM
2000,Bowling Green,Home,W,42,7,Sep 2 (Sat),12:10 PM
2000,Rice,Home,W,38,7,Sep 9 (Sat),12:10 PM
2000,#14 UCLA,Away,L,20,23,Sep 16 (Sat),12:30 PM PT
2000,#19 Illinois,Away,W,35,31,Sep 23 (Sat),6:30 PM CT
2000,#17 Wisconsin,Home,W,13,10,Sep 30 (Sat),Noon
2000,Purdue,Away,L,31,32,Oct 7 (Sat),11:00 AM CT
2000,Indiana,Home,W,58,0,Oct 14 (Sat),3:30 PM
2000,Michigan State,Home,W,14,0,Oct 21 (Sat),3:30 PM
2000,#21 Northwestern,Away,L,51,54,Nov 4 (Sat),2:30 PM CT
2000,Penn State,Home,W,33,11,Nov 11 (Sat),12:10 PM
2000,#12 Ohio State,Away,W,38,26,Nov 18 (Sat),Noon
2000,#20 Auburn,,W,31,28,Jan 1 (Mon),1:00 PM
1999,#16 Notre Dame,Home,W,26,22,Sep 4 (Sat),3:30 PM
1999,Rice,Home,W,37,3,Sep 11 (Sat),12:10 PM
1999,Syracuse,Away,W,18,13,Sep 18 (Sat),8:00 PM
1999,#20 Wisconsin,Away,W,21,16,Sep 25 (Sat),2:30 PM CT
1999,#11 Purdue,Home,W,38,12,Oct 2 (Sat),12:10 PM
1999,#11 Michigan State,Away,L,31,34,Oct 9 (Sat),Noon
1999,Illinois,Home,L,29,35,Oct 23 (Sat),12:10 PM
1999,Indiana,Away,W,34,31,Oct 30 (Sat),11:10 AM CT
1999,Northwestern,Home,W,37,3,Nov 6 (Sat),12:10 PM
1999,#6 Penn State,Away,W,31,27,Nov 13 (Sat),Noon
1999,Ohio State,Home,W,24,17,Nov 20 (Sat),Noon
1999,#5 Alabama,,W,35,34,Jan 1 (Sat),8:30 PM
1998,#22 Notre Dame,Away,L,20,36,Sep 5 (Sat),2:30 PM CT
1998,#19 Syracuse,Home,L,28,38,Sep 12 (Sat),3:30 PM
1998,Eastern Michigan,Home,W,59,20,Sep 19 (Sat),12:10 PM
1998,Michigan State,Home,W,29,17,Sep 26 (Sat),Noon
1998,Iowa,Away,W,12,9,Oct 3 (Sat),2:30 PM CT
1998,Northwestern,Away,W,12,6,Oct 17 (Sat),6:00 PM CT
1998,Indiana,Home,W,21,10,Oct 24 (Sat),12:10 PM
1998,Minnesota,Away,W,15,10,Oct 31 (Sat),11:10 AM CT
1998,#9 Penn State,Home,W,27,0,Nov 7 (Sat),Noon
1998,#8 Wisconsin,Home,W,27,10,Nov 14 (Sat),12:10 PM
1998,#7 Ohio State,Away,L,16,31,Nov 21 (Sat),Noon
1998,Hawaii,Away,W,48,17,Nov 28 (Sat),4:35 PM HT
1998,#11 Arkansas,,W,45,31,Jan 1 (Fri),1:00 PM
1997,#8 Colorado,Home,W,27,3,Sep 13 (Sat),Noon
1997,Baylor,Home,W,38,3,Sep 20 (Sat),12:30 PM
1997,Notre Dame,Home,W,21,14,Sep 27 (Sat),3:30 PM
1997,Indiana,Away,W,37,0,Oct 4 (Sat),11:20 AM CT
1997,Northwestern,Home,W,23,6,Oct 11 (Sat),12:30 PM
1997,#15 Iowa,Home,W,28,24,Oct 18 (Sat),12:30 PM
1997,#15 Michigan State,Away,W,23,7,Oct 25 (Sat),12:30 PM
1997,Minnesota,Home,W,24,3,Nov 1 (Sat),12:20 PM
1997,#3 Penn State,Away,W,34,8,Nov 8 (Sat),3:30 PM
1997,#23 Wisconsin,Away,W,26,16,Nov 15 (Sat),2:30 PM CT
1997,#4 Ohio State,Home,W,20,14,Nov 22 (Sat),Noon
1997,#8 Washington State,,W,21,16,Jan 1 (Thu),2:00 PM PT
1996,Illinois,Home,W,20,8,Aug 31 (Sat),3:30 PM
1996,Colorado,Away,W,20,13,Sep 14 (Sat),1:30 PM MT
1996,Boston College,Home,W,20,14,Sep 21 (Sat),3:30 PM
1996,UCLA,Home,W,38,9,Sep 28 (Sat),3:30 PM
1996,Northwestern,Away,L,16,17,Oct 5 (Sat),11:20 AM CT
1996,Indiana (HC),Home,W,27,20,Oct 19 (Sat),12:20 PM
1996,Minnesota,Away,W,44,10,Oct 26 (Sat),6:00 PM CT
1996,Michigan State,Home,W,45,29,Nov 2 (Sat),Noon
1996,Purdue,Away,L,3,9,Nov 9 (Sat),12:30 PM
1996,Penn State,Home,L,17,29,Nov 16 (Sat),Noon
1996,Ohio State,Away,W,13,9,Nov 23 (Sat),Noon
1996,Alabama,,L,14,17,Jan 1 (Wed),11:00 AM
1995,Virginia,Home,W,18,17,Aug 26 (Sat),
1995,Illinois,Away,W,38,14,Sep 2 (Sat),
1995,Memphis,Home,W,24,7,Sep 9 (Sat),
1995,Boston College,Away,W,23,13,Sep 16 (Sat),
1995,Miami (Ohio),Home,W,38,19,Sep 30 (Sat),
1995,Northwestern,Away,L,13,19,Oct 7 (Sat),
1995,Indiana,Away,W,34,17,Oct 21 (Sat),
