School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Points For,Points Against,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Qualified
Pittsburgh,32,17,15,0.531,13.59,8.56,8,12,13,4,3,9,2428,2267,1290,834,1851,0.451,265,766,0.346,495,633,0.782,314,1068,429,233,132,319,526,False
Portland,32,12,20,0.375,-7.09,2.37,7,11,9,7,3,9,2334,2574,1300,805,1843,0.437,272,788,0.345,452,582,0.777,266,1083,496,149,99,408,487,False
Portland State,32,19,13,0.594,-4.06,-4.92,11,7,13,1,5,10,2418,2227,1285,913,1932,0.473,201,615,0.327,391,621,0.63,387,1179,468,264,157,407,560,False
Prairie View,32,5,27,0.156,-19.12,-7.12,4,14,3,7,2,19,2286,2637,1280,820,1884,0.435,202,634,0.319,444,643,0.691,283,894,390,259,102,381,604,False
Presbyterian,32,14,18,0.438,-6.49,-4.35,7,9,8,5,4,12,2379,2263,1295,868,1854,0.468,234,635,0.369,409,589,0.694,324,1079,424,215,103,340,580,False
Princeton,30,19,11,0.633,-2.59,-2.23,8,6,9,4,7,4,2209,2162,1200,791,1824,0.434,316,889,0.355,311,438,0.71,291,1014,455,221,65,313,466,False
Providence,32,12,20,0.375,7.52,8.68,6,14,10,6,2,9,2283,2320,1285,807,1833,0.44,297,834,0.356,372,542,0.686,362,1186,413,159,109,407,550,False
Purdue,33,22,11,0.667,20.68,13.89,13,7,14,2,5,6,2570,2346,1320,913,1863,0.49,273,710,0.385,471,645,0.73,314,1068,527,216,56,342,531,True
Purdue Fort Wayne,32,19,13,0.594,-1.02,-4.08,12,8,12,2,6,10,2583,2388,1295,918,1955,0.47,330,890,0.371,417,556,0.75,243,969,434,278,89,306,503,False
Queens (NC),33,19,14,0.576,-4.77,-4.55,11,7,9,5,9,9,2527,2445,1335,878,1970,0.446,306,886,0.345,465,677,0.687,381,1232,527,217,175,414,560,False
Quinnipiac,33,20,13,0.606,-5.64,-7.42,15,5,12,2,7,10,2439,2358,1325,864,2026,0.426,227,767,0.296,484,634,0.763,390,1263,455,272,154,425,539,False
Radford,33,20,13,0.606,-2.49,-3.2,9,7,10,3,7,9,2441,2314,1330,824,1813,0.454,242,664,0.364,551,722,0.763,375,1167,374,183,103,374,564,False
Rhode Island,31,18,13,0.581,1.6,-0.37,7,11,14,3,1,9,2419,2328,1255,828,1782,0.465,236,673,0.351,527,759,0.694,311,1160,430,184,104,401,508,False
Rice,32,13,19,0.406,-1.84,-1.88,4,14,7,8,4,8,2249,2249,1290,748,1778,0.421,227,688,0.33,526,772,0.681,394,1223,379,149,99,377,571,False
Richmond,32,10,22,0.313,-4.89,2.04,5,13,6,9,2,11,2137,2302,1310,729,1745,0.418,250,797,0.314,429,542,0.792,208,996,373,191,66,327,560,False
Rider,33,14,19,0.424,-11.82,-7.0,9,11,5,7,8,11,2211,2370,1320,814,1894,0.43,178,571,0.312,405,561,0.722,369,1131,416,177,102,370,476,False
Robert Morris,34,26,8,0.765,-0.05,-5.81,15,5,16,2,8,6,2613,2395,1385,901,2000,0.451,257,734,0.35,554,767,0.722,423,1271,545,217,154,442,562,True
Rutgers,32,15,17,0.469,10.45,10.98,8,12,11,5,3,8,2465,2482,1305,865,1939,0.446,231,703,0.329,504,702,0.718,358,1129,413,225,125,349,547,False
Sacramento State,32,7,25,0.219,-13.7,-3.67,3,15,5,11,2,13,2119,2257,1280,746,1741,0.428,262,798,0.328,365,541,0.675,302,1070,418,190,97,422,592,False
Sacred Heart,33,15,18,0.455,-8.73,-8.14,10,10,8,5,5,11,2502,2481,1325,895,2043,0.438,318,910,0.349,392,536,0.731,389,1223,547,243,98,406,520,False
Saint Francis (PA),33,16,17,0.485,-12.53,-7.07,8,8,10,4,6,13,2347,2363,1345,878,1904,0.461,271,800,0.339,320,440,0.727,287,1122,469,209,79,425,502,True
Saint Joseph's,34,22,12,0.647,8.06,1.33,11,7,13,4,4,6,2562,2333,1370,883,1998,0.442,316,930,0.34,480,646,0.743,359,1261,498,219,188,387,489,False
Saint Louis,33,19,14,0.576,4.3,2.46,11,7,14,3,4,8,2449,2320,1330,871,1828,0.476,325,919,0.354,382,556,0.687,252,1164,497,211,103,419,486,False
Saint Mary's (CA),33,28,5,0.848,17.74,5.74,17,1,16,1,9,1,2426,2002,1330,894,1963,0.455,213,659,0.323,425,612,0.694,464,1313,511,206,130,323,496,True
Saint Peter's,28,12,16,0.429,-10.36,-8.18,7,13,6,6,6,10,1848,1842,1130,624,1581,0.395,199,604,0.329,401,543,0.738,377,1043,289,190,101,381,528,False
Sam Houston,32,13,19,0.406,-2.59,1.58,6,12,9,4,3,13,2411,2433,1295,827,1855,0.446,276,712,0.388,481,663,0.725,345,1129,412,205,93,405,565,False
Samford,32,22,10,0.688,1.57,-3.87,12,6,13,3,9,6,2667,2406,1290,948,2053,0.462,344,944,0.364,427,591,0.723,418,1154,528,319,120,410,619,False
San Diego,33,6,27,0.182,-8.06,1.94,2,16,5,13,0,12,2314,2629,1320,820,2016,0.407,211,719,0.293,463,616,0.752,381,1132,376,245,118,440,693,False
San Diego State,30,21,9,0.7,13.77,8.04,14,6,12,3,6,4,2126,1909,1210,766,1726,0.444,231,690,0.335,361,542,0.666,305,1062,393,230,164,329,555,True
San Francisco,33,24,9,0.727,10.96,4.21,13,5,16,2,5,5,2505,2273,1325,876,1918,0.457,281,832,0.338,472,664,0.711,338,1162,455,222,113,392,621,False
San Jose State,34,15,19,0.441,0.82,4.38,7,13,7,8,3,9,2455,2495,1375,870,1952,0.446,277,802,0.345,438,592,0.74,323,1159,444,201,105,394,535,False
Santa Clara,32,20,12,0.625,13.15,4.71,12,6,11,4,6,5,2601,2331,1295,920,1970,0.467,347,921,0.377,414,569,0.728,364,1212,538,211,98,385,533,False
Seattle,32,14,18,0.438,0.14,-1.0,8,8,9,5,4,11,2254,2125,1280,746,1799,0.415,214,663,0.323,548,767,0.714,347,1099,386,259,102,364,574,False
Seton Hall,32,7,25,0.219,0.05,8.67,2,18,5,11,0,11,1970,2246,1295,708,1770,0.4,168,539,0.312,386,582,0.663,359,996,359,260,108,400,577,False
